"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\interceptors\admin-interceptor\admin-interceptor.interceptor.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 9, 36
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\interceptors\cliente-interceptor\cliente-interceptor.interceptor.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\main.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\almacen.schema.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\carrito.schema.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\categoria.schema.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\cliente.schema.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\cupon.schema.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 2, 49
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\cupon_detalle.schema.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\funcionalidad.schema.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\ingreso.schema.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\ingresoDetalle.schema.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 3, 54
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\log.schema.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\producto.schema.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 2, 62
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\producto_galeria.schema.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\producto_variedad.schema.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\proveedor.schema.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\rol.schema.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\tienda.schema.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\usuario.schema.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\ventaDetalle.schema.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\src\schemas\ventas.schema.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\HP\Documents\Ecommer\EcommerceBackend\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 26, 21, 12965, 4228, 8, 51, 251, 114, 966, 18630
